LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,HHDI,GROSSADJ,USD_CAP,A,1993,17295.19053,E
CAN,HHDI,GROSSADJ,USD_CAP,A,1994,17489.24965,E
CAN,HHDI,GROSSADJ,USD_CAP,A,1995,17844.73228,E
CAN,HHDI,GROSSADJ,USD_CAP,A,1996,18043.82135,E
CAN,HHDI,GROSSADJ,USD_CAP,A,1997,18488.23937,E
CAN,HHDI,GROSSADJ,USD_CAP,A,1998,19009.71189,E
CAN,HHDI,GROSSADJ,USD_CAP,A,1999,19797.97271,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2000,20963.65018,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2001,21713.50774,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2002,22281.07549,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2003,22920.97716,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2004,24105.6176,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2005,25084.50491,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2006,26146.73239,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2007,27488.63466,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2008,28350.00772,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2009,28219.60306,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2010,29124.47709,E
CAN,HHDI,GROSSADJ,USD_CAP,A,2011,29961.72465,
CAN,HHDI,GROSSADJ,USD_CAP,A,2012,30613.47243,
CAN,HHDI,GROSSADJ,USD_CAP,A,2013,31635.40726,
CAN,HHDI,GROSSADJ,USD_CAP,A,2014,31891.89292,
